timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW
2024-05-01 00:00:00,125.5,36.24,474789.0,55.0,56.7,45.8,52.1,203.0,218.0,379.0,385.0,50.0,1808.4
2024-05-01 00:01:00,123.8,34.67,449604.0,57.7,57.7,47.4,45.8,206.0,237.0,389.0,406.0,49.7,1760.2
2024-05-01 00:02:00,126.1,36.65,462320.0,57.1,59.3,48.7,45.7,211.0,218.0,393.0,403.0,50.0,1791.2
2024-05-01 00:03:00,125.4,38.86,472731.0,59.9,57.3,50.5,46.8,213.0,201.0,397.0,390.0,50.0,1855.6
2024-05-01 00:04:00,124.5,34.48,465055.0,59.4,57.0,48.7,49.2,215.0,208.0,402.0,370.0,50.0,1851.4
2024-05-01 00:05:00,124.0,34.5,461733.0,57.6,56.8,48.3,49.2,205.0,204.0,399.0,401.0,49.75,1825.7
2024-05-01 00:06:00,124.8,39.05,452645.0,55.9,58.5,46.2,46.9,216.0,210.0,412.0,397.0,49.82,1764.9
2024-05-01 00:07:00,123.8,37.04,449404.0,60.1,57.7,49.8,50.0,216.0,223.0,391.0,391.0,50.0,1862.4
2024-05-01 00:08:00,125.2,33.97,466684.0,57.9,59.4,47.5,47.1,205.0,206.0,388.0,404.0,49.91,1838.5
2024-05-01 00:09:00,125.2,36.51,472638.0,54.8,58.8,45.2,49.7,189.0,203.0,373.0,396.0,49.82,1835.7
2024-05-01 00:10:00,125.5,34.02,457144.0,55.0,52.2,46.3,45.2,200.0,216.0,402.0,387.0,50.0,1705.5
2024-05-01 00:11:00,127.7,34.03,451607.0,58.9,54.5,49.4,46.1,229.0,200.0,398.0,402.0,49.96,1787.0
2024-05-01 00:12:00,124.9,35.81,441120.0,55.5,57.1,49.5,47.2,190.0,200.0,383.0,393.0,50.0,1840.9
2024-05-01 00:13:00,126.6,30.44,453005.0,61.8,60.0,42.7,47.9,226.0,215.0,393.0,401.0,50.0,1808.6
2024-05-01 00:14:00,125.5,30.93,460007.0,56.2,56.8,47.8,46.4,189.0,189.0,390.0,392.0,49.66,1844.8
2024-05-01 00:15:00,124.8,33.86,473775.0,58.1,58.8,45.4,46.3,201.0,204.0,392.0,397.0,50.0,1819.2
2024-05-01 00:16:00,125.0,32.75,466432.0,58.4,59.3,48.8,48.9,206.0,221.0,387.0,408.0,49.76,1849.5
2024-05-01 00:17:00,125.1,36.08,463553.0,56.6,59.2,49.2,49.7,232.0,188.0,392.0,407.0,50.0,1856.0
2024-05-01 00:18:00,125.6,33.04,457977.0,53.6,57.0,45.9,46.5,211.0,189.0,372.0,384.0,49.54,1781.7
2024-05-01 00:19:00,123.7,31.8,456578.0,58.5,55.8,48.1,45.4,208.0,193.0,385.0,401.0,50.0,1808.7
2024-05-01 00:20:00,123.0,39.01,472554.0,56.6,55.5,49.7,48.2,199.0,178.0,394.0,383.0,49.87,1861.3
2024-05-01 00:21:00,126.2,34.8,462980.0,58.3,64.0,50.1,49.0,217.0,233.0,382.0,400.0,50.0,1884.3
2024-05-01 00:22:00,126.5,35.55,444619.0,57.9,59.0,46.4,45.9,204.0,212.0,395.0,389.0,49.72,1808.5
2024-05-01 00:23:00,126.3,31.84,456117.0,58.6,61.8,50.2,51.4,208.0,202.0,415.0,372.0,50.0,1927.3
2024-05-01 00:24:00,125.4,34.06,454705.0,61.2,56.4,48.6,46.3,206.0,195.0,377.0,394.0,50.0,1864.5
2024-05-01 00:25:00,126.4,35.71,457265.0,57.0,60.6,47.1,47.5,219.0,237.0,368.0,403.0,49.79,1783.3
2024-05-01 00:26:00,126.3,32.58,466204.0,57.2,57.2,47.9,47.6,220.0,218.0,405.0,398.0,49.92,1784.3
2024-05-01 00:27:00,126.4,36.41,460907.0,54.8,58.1,49.7,46.4,200.0,209.0,416.0,380.0,50.0,1806.4
2024-05-01 00:28:00,124.0,33.99,461217.0,57.7,57.5,49.6,51.7,203.0,225.0,395.0,394.0,50.0,1842.2
2024-05-01 00:29:00,123.6,34.78,472405.0,58.9,56.4,49.9,46.2,202.0,215.0,391.0,389.0,49.66,1828.1
2024-05-01 00:30:00,124.7,34.02,456391.0,57.2,56.4,46.7,51.5,213.0,204.0,383.0,400.0,50.0,1821.2
2024-05-01 00:31:00,125.2,40.17,476941.0,59.0,58.1,48.5,47.5,221.0,203.0,397.0,403.0,49.7,1814.7
2024-05-01 00:32:00,124.9,35.52,456722.0,57.8,57.0,47.6,47.5,213.0,203.0,390.0,375.0,50.0,1813.5
2024-05-01 00:33:00,122.5,32.93,462872.0,55.5,58.4,48.5,46.8,184.0,198.0,401.0,392.0,49.7,1851.9
2024-05-01 00:34:00,127.9,37.65,459974.0,58.8,56.5,47.1,49.4,220.0,224.0,370.0,380.0,49.87,1816.3
2024-05-01 00:35:00,124.9,32.56,463276.0,57.7,59.6,51.3,52.0,194.0,204.0,395.0,393.0,49.99,1929.6
2024-05-01 00:36:00,125.6,36.15,465911.0,58.4,57.2,48.0,46.9,202.0,227.0,381.0,374.0,50.0,1815.5
2024-05-01 00:37:00,127.2,30.75,465890.0,57.0,61.4,47.8,47.5,213.0,201.0,402.0,390.0,50.0,1859.1
2024-05-01 00:38:00,121.8,32.34,456460.0,56.9,58.1,49.0,51.0,210.0,203.0,377.0,394.0,50.0,1863.7
2024-05-01 00:39:00,124.6,36.17,453566.0,58.5,58.0,50.3,45.8,221.0,205.0,398.0,363.0,49.82,1830.0
2024-05-01 00:40:00,124.8,37.54,482640.0,57.7,61.4,48.2,46.5,203.0,200.0,384.0,387.0,50.0,1873.2
2024-05-01 00:41:00,124.9,36.14,458808.0,61.6,57.2,47.5,50.8,199.0,204.0,385.0,373.0,49.3,1905.2
2024-05-01 00:42:00,125.1,35.44,468339.0,59.8,57.4,49.9,48.9,207.0,217.0,401.0,401.0,50.0,1847.7
2024-05-01 00:43:00,127.5,35.0,449949.0,59.3,56.8,51.6,46.4,222.0,225.0,381.0,367.0,50.0,1826.6
2024-05-01 00:44:00,126.4,32.07,460639.0,57.8,58.6,50.9,49.3,218.0,214.0,373.0,387.0,50.0,1851.1
2024-05-01 00:45:00,126.8,33.99,461923.0,54.1,56.7,46.1,45.0,212.0,196.0,392.0,407.0,49.71,1741.6
2024-05-01 00:46:00,125.5,34.65,466788.0,56.6,59.8,49.6,50.3,227.0,203.0,383.0,378.0,49.97,1866.5
2024-05-01 00:47:00,123.3,38.46,441291.0,56.9,58.1,48.0,44.2,224.0,204.0,374.0,382.0,49.63,1779.6
2024-05-01 00:48:00,122.3,36.7,464465.0,57.7,59.9,50.7,46.1,220.0,231.0,395.0,390.0,49.69,1818.0
2024-05-01 00:49:00,123.1,31.45,454003.0,58.1,59.7,51.8,48.9,197.0,223.0,394.0,391.0,49.21,1887.2
2024-05-01 00:50:00,126.0,36.68,465861.0,59.5,57.2,43.4,45.6,220.0,225.0,392.0,363.0,50.0,1759.7
2024-05-01 00:51:00,125.5,34.93,455041.0,58.8,56.7,48.1,48.1,208.0,202.0,397.0,388.0,49.78,1831.3
2024-05-01 00:52:00,125.1,34.21,456553.0,60.5,57.6,47.2,49.2,206.0,195.0,367.0,399.0,50.0,1873.2
2024-05-01 00:53:00,124.9,37.45,461272.0,57.6,58.2,46.7,46.6,203.0,218.0,382.0,417.0,50.0,1798.3
2024-05-01 00:54:00,128.5,38.52,455108.0,58.7,58.9,46.3,47.9,209.0,205.0,394.0,382.0,50.0,1831.5
2024-05-01 00:55:00,124.2,38.29,459787.0,58.9,59.1,47.2,49.8,203.0,214.0,403.0,387.0,50.0,1842.5
2024-05-01 00:56:00,126.9,33.88,454109.0,58.7,58.2,47.5,49.0,213.0,216.0,394.0,396.0,50.0,1831.0
2024-05-01 00:57:00,125.5,35.22,449056.0,60.8,56.9,47.4,51.2,209.0,206.0,405.0,381.0,50.0,1879.3
2024-05-01 00:58:00,125.4,36.84,471930.0,59.9,57.1,44.1,46.4,213.0,223.0,383.0,409.0,49.79,1774.9
2024-05-01 00:59:00,127.3,38.47,453483.0,55.6,59.3,48.4,46.1,217.0,193.0,384.0,391.0,49.7,1821.4
2024-05-01 01:00:00,127.7,34.85,462487.0,58.0,57.0,50.2,50.8,207.0,212.0,387.0,394.0,49.53,1857.9
2024-05-01 01:01:00,125.2,35.6,470004.0,58.2,59.4,47.0,48.9,202.0,219.0,390.0,397.0,50.0,1841.2
2024-05-01 01:02:00,126.7,33.31,459126.0,62.6,59.5,44.9,47.6,187.0,231.0,370.0,371.0,50.0,1888.9
2024-05-01 01:03:00,126.1,33.11,457509.0,57.6,61.3,48.3,47.0,220.0,213.0,391.0,394.0,49.25,1832.0
2024-05-01 01:04:00,125.6,38.15,465986.0,56.3,57.3,50.3,49.8,212.0,226.0,391.0,384.0,49.96,1818.5
2024-05-01 01:05:00,125.9,39.52,473184.0,59.2,57.6,48.5,47.4,209.0,225.0,384.0,381.0,50.0,1816.4
2024-05-01 01:06:00,124.5,35.97,454951.0,59.3,53.7,46.7,49.7,225.0,239.0,382.0,397.0,50.0,1752.4
2024-05-01 01:07:00,125.1,38.68,463169.0,58.1,56.4,46.0,50.7,196.0,215.0,394.0,405.0,50.0,1826.3
2024-05-01 01:08:00,124.7,37.09,450575.0,57.9,56.4,49.6,48.4,212.0,236.0,398.0,391.0,50.0,1796.6
2024-05-01 01:09:00,127.0,34.59,461354.0,60.2,59.3,47.7,45.4,199.0,221.0,393.0,410.0,50.0,1838.5
2024-05-01 01:10:00,125.5,37.12,464838.0,56.6,61.9,47.1,49.3,219.0,193.0,393.0,388.0,50.0,1871.5
2024-05-01 01:11:00,123.7,40.08,457792.0,57.6,59.5,46.9,50.4,184.0,211.0,391.0,371.0,49.72,1887.8
2024-05-01 01:12:00,124.5,36.16,461038.0,57.3,60.3,48.6,50.6,221.0,200.0,391.0,377.0,49.74,1880.5
2024-05-01 01:13:00,120.8,40.18,453492.0,60.5,56.9,48.4,48.5,220.0,229.0,399.0,410.0,50.0,1806.8
2024-05-01 01:14:00,124.9,29.74,465439.0,58.9,55.9,48.3,44.7,200.0,213.0,411.0,413.0,50.0,1783.0
2024-05-01 01:15:00,125.7,38.36,473333.0,56.2,57.8,46.2,47.3,212.0,195.0,409.0,396.0,49.76,1797.3
2024-05-01 01:16:00,125.5,36.54,456175.0,56.4,57.1,46.1,47.2,200.0,222.0,378.0,384.0,49.76,1793.7
2024-05-01 01:17:00,128.6,35.59,460035.0,62.1,56.6,46.9,49.9,216.0,227.0,366.0,388.0,49.95,1843.4
2024-05-01 01:18:00,126.5,36.59,469101.0,60.5,58.8,48.8,49.0,221.0,206.0,398.0,391.0,49.87,1857.0
2024-05-01 01:19:00,126.5,31.41,474842.0,60.0,56.0,49.3,50.0,199.0,206.0,392.0,392.0,50.0,1881.1
2024-05-01 01:20:00,123.2,35.84,453264.0,58.4,60.0,51.1,46.8,196.0,214.0,391.0,398.0,50.0,1885.5
2024-05-01 01:21:00,125.2,37.3,463924.0,61.4,57.6,46.5,48.6,224.0,189.0,396.0,395.0,50.0,1853.0
2024-05-01 01:22:00,125.0,40.12,467604.0,56.2,58.3,49.6,43.6,234.0,220.0,388.0,377.0,50.0,1760.5
2024-05-01 01:23:00,124.5,35.15,464587.0,59.9,58.6,44.7,47.4,217.0,232.0,372.0,378.0,50.0,1808.5
2024-05-01 01:24:00,124.5,34.44,445653.0,57.5,57.4,48.9,45.2,218.0,203.0,378.0,398.0,49.97,1796.0
2024-05-01 01:25:00,123.0,35.23,469541.0,57.9,60.9,45.2,51.7,207.0,233.0,378.0,387.0,49.59,1850.8
2024-05-01 01:26:00,123.8,38.79,477751.0,59.8,55.2,45.7,49.1,213.0,223.0,399.0,390.0,49.82,1779.0
2024-05-01 01:27:00,127.1,37.34,466594.0,58.1,60.9,49.7,49.0,215.0,210.0,414.0,392.0,49.37,1863.1
2024-05-01 01:28:00,125.6,35.21,457476.0,57.5,57.7,48.5,45.7,209.0,219.0,386.0,385.0,50.0,1789.9
2024-05-01 01:29:00,125.0,37.83,461684.0,57.4,60.2,47.6,47.9,227.0,230.0,423.0,393.0,50.0,1776.3
2024-05-01 01:30:00,125.8,36.81,480013.0,54.4,58.8,45.4,49.5,213.0,213.0,369.0,400.0,49.89,1780.3
2024-05-01 01:31:00,127.5,39.01,473197.0,59.9,60.1,48.9,46.5,215.0,216.0,385.0,390.0,49.75,1851.5
2024-05-01 01:32:00,125.8,34.85,471102.0,56.4,58.2,48.4,47.3,209.0,205.0,394.0,408.0,50.0,1810.4
2024-05-01 01:33:00,126.6,35.8,468897.0,62.1,58.9,49.6,50.4,211.0,210.0,361.0,410.0,50.0,1916.3
2024-05-01 01:34:00,124.5,35.66,460821.0,57.8,60.6,44.7,46.1,226.0,220.0,410.0,381.0,50.0,1773.5
2024-05-01 01:35:00,124.9,32.99,464569.0,61.0,58.6,49.4,47.3,213.0,209.0,383.0,397.0,50.0,1873.4
2024-05-01 01:36:00,126.4,37.41,465615.0,54.8,61.1,47.1,46.6,213.0,205.0,392.0,389.0,49.95,1813.4
2024-05-01 01:37:00,128.7,37.34,470699.0,59.9,59.1,48.8,48.9,214.0,225.0,397.0,382.0,50.0,1858.6
2024-05-01 01:38:00,128.0,36.72,478437.0,60.4,57.0,48.1,49.8,207.0,217.0,373.0,391.0,49.94,1857.8
2024-05-01 01:39:00,126.7,36.14,475377.0,61.0,57.7,46.5,51.4,195.0,206.0,421.0,366.0,50.0,1893.1
2024-05-01 01:40:00,126.1,33.2,455139.0,55.4,60.2,47.4,49.0,230.0,232.0,393.0,401.0,50.0,1780.6
2024-05-01 01:41:00,128.0,35.71,468350.0,57.0,56.0,46.5,50.7,224.0,237.0,388.0,402.0,50.0,1762.9
2024-05-01 01:42:00,127.1,35.92,472516.0,59.6,60.0,47.2,49.0,226.0,224.0,378.0,394.0,50.0,1835.9
2024-05-01 01:43:00,122.5,34.79,471636.0,58.7,57.7,46.4,45.5,199.0,197.0,394.0,403.0,50.0,1826.5
2024-05-01 01:44:00,124.3,36.41,461715.0,59.0,55.9,49.0,48.3,229.0,216.0,373.0,383.0,49.81,1809.7
2024-05-01 01:45:00,126.4,37.84,490126.0,57.7,58.9,46.5,48.3,235.0,219.0,393.0,358.0,49.87,1796.0
2024-05-01 01:46:00,123.2,41.56,456660.0,61.6,57.1,49.3,50.4,224.0,193.0,409.0,386.0,50.0,1886.8
2024-05-01 01:47:00,124.6,37.3,458275.0,63.7,57.3,54.8,48.0,231.0,226.0,406.0,377.0,49.96,1885.7
2024-05-01 01:48:00,124.9,37.52,468873.0,58.7,57.2,47.7,47.5,221.0,214.0,385.0,392.0,50.0,1805.6
2024-05-01 01:49:00,125.6,36.71,484002.0,59.4,58.7,45.1,46.5,201.0,225.0,389.0,409.0,50.0,1800.4
2024-05-01 01:50:00,125.5,32.11,460442.0,58.6,57.7,52.4,47.7,218.0,208.0,398.0,395.0,49.97,1844.6
2024-05-01 01:51:00,125.5,36.86,465068.0,61.1,59.3,48.9,48.1,199.0,217.0,406.0,389.0,50.0,1880.1
2024-05-01 01:52:00,127.2,37.1,475877.0,60.1,60.5,48.0,49.4,204.0,218.0,410.0,405.0,50.0,1877.6
2024-05-01 01:53:00,125.6,43.12,467179.0,56.4,59.6,47.5,46.6,215.0,214.0,411.0,412.0,50.0,1784.4
2024-05-01 01:54:00,125.4,36.5,464708.0,57.3,62.1,46.1,52.9,214.0,218.0,381.0,397.0,50.0,1872.4
2024-05-01 01:55:00,124.0,37.75,471974.0,56.5,62.6,47.6,46.4,217.0,210.0,401.0,384.0,50.0,1828.5
2024-05-01 01:56:00,127.5,36.93,469692.0,63.9,57.9,46.7,45.7,190.0,197.0,375.0,393.0,49.87,1905.7
2024-05-01 01:57:00,125.0,34.11,475819.0,59.8,56.2,46.7,49.3,210.0,187.0,386.0,394.0,50.0,1846.9
2024-05-01 01:58:00,124.4,39.91,477971.0,57.3,57.9,49.4,45.7,218.0,204.0,378.0,390.0,49.93,1820.2
2024-05-01 01:59:00,126.4,38.95,470158.0,57.2,58.8,50.2,48.3,221.0,221.0,378.0,407.0,49.93,1821.7
2024-05-01 02:00:00,124.9,39.06,470099.0,60.1,63.0,47.8,46.9,222.0,199.0,395.0,402.0,50.0,1869.4
2024-05-01 02:01:00,125.3,34.83,469541.0,60.3,57.8,49.3,49.6,215.0,224.0,384.0,378.0,49.98,1861.3
2024-05-01 02:02:00,126.4,40.63,471805.0,60.1,59.1,52.5,48.6,207.0,228.0,396.0,377.0,49.21,1886.1
2024-05-01 02:03:00,125.6,33.63,468396.0,57.7,57.2,46.6,50.6,218.0,217.0,378.0,386.0,49.93,1805.2
2024-05-01 02:04:00,129.5,38.62,468013.0,59.2,57.8,45.0,49.1,208.0,210.0,398.0,380.0,49.99,1827.6
2024-05-01 02:05:00,126.0,42.65,477654.0,58.8,56.1,49.9,48.4,223.0,224.0,387.0,387.0,50.0,1801.7
2024-05-01 02:06:00,127.0,34.71,480273.0,56.7,55.6,46.8,48.7,217.0,226.0,389.0,392.0,50.0,1757.1
2024-05-01 02:07:00,123.2,35.79,456147.0,56.7,61.3,47.2,46.3,211.0,209.0,377.0,390.0,50.0,1834.7
2024-05-01 02:08:00,124.8,37.47,468350.0,59.4,60.7,48.5,46.9,203.0,213.0,404.0,394.0,49.91,1852.0
2024-05-01 02:09:00,124.5,35.98,462823.0,59.0,57.8,50.8,48.7,225.0,202.0,394.0,388.0,50.0,1856.7
2024-05-01 02:10:00,124.7,33.38,465908.0,59.7,60.7,48.5,49.5,219.0,215.0,399.0,375.0,50.0,1865.3
2024-05-01 02:11:00,126.8,37.44,471679.0,60.2,56.0,44.0,47.6,237.0,187.0,377.0,381.0,49.97,1807.9
2024-05-01 02:12:00,127.7,34.63,473877.0,61.6,58.2,49.0,47.9,218.0,208.0,400.0,380.0,50.0,1855.8
2024-05-01 02:13:00,126.7,38.49,467687.0,57.0,58.9,48.8,47.5,219.0,202.0,393.0,383.0,50.0,1837.8
2024-05-01 02:14:00,125.8,35.03,453340.0,59.8,61.1,46.6,49.0,194.0,211.0,386.0,397.0,49.66,1894.0
2024-05-01 02:15:00,125.2,41.22,460989.0,60.1,59.0,44.9,48.3,216.0,202.0,409.0,388.0,50.0,1841.2
2024-05-01 02:16:00,127.9,35.4,475944.0,58.0,59.7,47.5,49.5,208.0,189.0,397.0,381.0,49.48,1891.1
2024-05-01 02:17:00,129.3,36.57,446911.0,58.8,57.7,43.7,47.1,222.0,204.0,398.0,391.0,49.65,1789.4
2024-05-01 02:18:00,126.4,39.43,478397.0,58.0,59.1,44.7,48.2,216.0,206.0,369.0,396.0,49.85,1823.5
2024-05-01 02:19:00,127.6,34.33,473129.0,62.8,61.1,45.6,51.3,224.0,225.0,405.0,395.0,49.78,1890.6
2024-05-01 02:20:00,126.7,38.0,479551.0,58.8,55.4,45.8,52.4,238.0,204.0,398.0,421.0,50.0,1800.0
2024-05-01 02:21:00,127.4,40.71,467496.0,59.5,60.9,50.1,47.8,202.0,202.0,407.0,385.0,49.43,1900.8
2024-05-01 02:22:00,124.5,33.44,452656.0,58.1,58.2,48.0,50.9,223.0,198.0,385.0,397.0,49.94,1854.5
2024-05-01 02:23:00,125.5,37.94,472652.0,57.7,55.8,49.0,50.8,220.0,226.0,384.0,405.0,50.0,1801.8
2024-05-01 02:24:00,126.8,38.14,479469.0,56.0,58.1,48.7,50.0,236.0,209.0,412.0,411.0,49.91,1787.1
2024-05-01 02:25:00,128.1,39.47,476731.0,60.8,61.2,45.2,44.8,221.0,215.0,404.0,389.0,49.95,1810.8
2024-05-01 02:26:00,125.0,34.44,464094.0,60.2,57.7,47.2,45.5,219.0,194.0,375.0,371.0,49.82,1837.2
2024-05-01 02:27:00,123.2,34.25,470152.0,58.0,59.2,47.9,47.3,222.0,191.0,393.0,389.0,49.47,1851.3
2024-05-01 02:28:00,125.5,38.87,465257.0,56.8,55.4,48.1,47.3,223.0,201.0,405.0,397.0,49.73,1773.9
2024-05-01 02:29:00,127.8,38.32,463028.0,59.0,55.0,49.3,46.5,230.0,232.0,395.0,424.0,50.0,1747.3
2024-05-01 02:30:00,123.9,38.22,477287.0,57.7,56.5,50.2,49.4,202.0,199.0,386.0,376.0,49.79,1867.1
2024-05-01 02:31:00,124.5,38.48,460126.0,58.2,60.7,49.1,49.6,207.0,205.0,385.0,392.0,50.0,1886.7
2024-05-01 02:32:00,126.6,35.93,462617.0,56.1,58.6,51.9,51.9,233.0,212.0,393.0,384.0,49.83,1849.5
2024-05-01 02:33:00,126.2,38.23,460998.0,59.1,60.9,49.2,47.1,189.0,205.0,405.0,404.0,49.63,1901.4
2024-05-01 02:34:00,127.2,38.4,457970.0,59.1,61.0,47.3,47.0,211.0,218.0,381.0,385.0,50.0,1851.6
2024-05-01 02:35:00,124.5,35.9,471125.0,60.9,57.2,50.9,48.7,214.0,202.0,367.0,374.0,50.0,1898.2
2024-05-01 02:36:00,125.9,42.36,479307.0,58.4,61.8,45.9,45.8,210.0,199.0,388.0,368.0,50.0,1862.4
2024-05-01 02:37:00,128.2,38.9,468598.0,58.0,57.6,49.4,52.1,231.0,245.0,398.0,396.0,50.0,1810.5
2024-05-01 02:38:00,124.6,34.76,458092.0,55.6,60.7,48.0,47.6,218.0,201.0,401.0,394.0,50.0,1831.3
2024-05-01 02:39:00,128.6,39.39,476920.0,60.9,60.6,46.6,48.2,208.0,222.0,381.0,399.0,49.7,1860.8
2024-05-01 02:40:00,124.8,35.33,483747.0,60.5,58.8,48.8,48.6,205.0,201.0,396.0,394.0,50.0,1870.0
2024-05-01 02:41:00,127.7,39.75,465153.0,58.8,58.8,47.8,48.1,216.0,194.0,385.0,396.0,49.8,1854.0
2024-05-01 02:42:00,125.8,40.7,466556.0,56.0,59.3,44.7,47.8,226.0,211.0,402.0,398.0,50.0,1769.7
2024-05-01 02:43:00,124.7,35.77,474571.0,56.3,58.9,48.7,53.1,214.0,196.0,391.0,383.0,49.95,1889.2
2024-05-01 02:44:00,125.7,40.24,483482.0,57.6,57.9,46.3,48.5,211.0,208.0,403.0,393.0,49.7,1814.4
2024-05-01 02:45:00,127.2,38.88,466410.0,60.6,57.8,48.6,49.3,204.0,203.0,394.0,399.0,50.0,1887.1
2024-05-01 02:46:00,126.4,39.92,459970.0,59.3,58.0,48.1,47.4,217.0,227.0,399.0,381.0,49.87,1803.0
2024-05-01 02:47:00,128.1,42.63,475742.0,55.7,61.2,49.2,49.6,216.0,194.0,388.0,372.0,50.0,1869.7
2024-05-01 02:48:00,128.6,37.29,477145.0,59.5,55.6,43.8,48.4,204.0,221.0,384.0,397.0,49.95,1777.9
2024-05-01 02:49:00,124.7,36.04,470862.0,57.1,57.7,46.4,48.9,225.0,216.0,389.0,391.0,49.99,1792.4
2024-05-01 02:50:00,124.6,35.71,466409.0,57.7,58.1,48.6,49.3,233.0,210.0,400.0,409.0,50.0,1795.3
2024-05-01 02:51:00,124.5,35.91,478890.0,60.7,58.3,54.1,50.1,213.0,203.0,423.0,401.0,50.0,1915.0
2024-05-01 02:52:00,125.1,37.78,475220.0,60.3,59.3,48.7,49.8,216.0,215.0,408.0,389.0,50.0,1860.3
2024-05-01 02:53:00,128.2,38.84,464909.0,60.9,56.1,47.5,48.3,199.0,215.0,411.0,377.0,49.55,1833.2
2024-05-01 02:54:00,127.4,38.7,471511.0,58.7,60.8,50.1,48.4,221.0,217.0,392.0,409.0,49.96,1851.1
2024-05-01 02:55:00,125.7,40.09,460365.0,60.5,60.5,47.2,46.2,218.0,209.0,387.0,402.0,49.99,1849.6
2024-05-01 02:56:00,126.5,38.07,476726.0,57.6,60.1,49.2,48.0,209.0,199.0,367.0,408.0,49.75,1873.0
2024-05-01 02:57:00,128.6,41.69,469202.0,58.3,58.4,48.5,48.6,204.0,223.0,386.0,405.0,50.0,1849.5
2024-05-01 02:58:00,129.4,37.41,467875.0,58.1,57.3,50.5,50.2,235.0,213.0,376.0,378.0,50.0,1850.4
2024-05-01 02:59:00,126.9,44.89,471158.0,58.8,58.1,49.7,43.7,217.0,205.0,402.0,399.0,50.0,1798.6
2024-05-01 03:00:00,122.6,39.67,471804.0,56.2,58.9,47.4,49.0,202.0,201.0,391.0,404.0,49.58,1836.9
2024-05-01 03:01:00,127.0,35.98,478701.0,58.3,60.1,45.4,46.8,223.0,224.0,377.0,394.0,50.0,1807.8
2024-05-01 03:02:00,128.0,35.46,476331.0,61.7,58.6,46.3,49.9,215.0,229.0,400.0,389.0,49.68,1843.9
2024-05-01 03:03:00,126.9,39.36,470411.0,56.6,59.5,49.0,51.1,213.0,220.0,397.0,388.0,50.0,1837.2
2024-05-01 03:04:00,127.7,37.61,477832.0,56.1,57.9,48.3,48.3,224.0,220.0,380.0,384.0,49.9,1791.5
2024-05-01 03:05:00,127.1,39.98,474989.0,56.3,59.4,48.5,51.3,181.0,227.0,411.0,392.0,50.0,1862.9
2024-05-01 03:06:00,124.8,39.39,468431.0,64.1,58.3,48.9,50.1,191.0,208.0,384.0,378.0,50.0,1948.5
2024-05-01 03:07:00,125.3,38.04,470906.0,59.7,59.3,46.8,48.7,229.0,238.0,400.0,371.0,49.82,1804.2
2024-05-01 03:08:00,126.1,36.12,470778.0,58.3,55.3,48.2,45.2,211.0,200.0,392.0,387.0,50.0,1785.1
2024-05-01 03:09:00,128.2,34.47,476066.0,59.0,59.8,48.4,49.2,208.0,210.0,413.0,386.0,,1854.2
2024-05-01 03:10:00,125.5,37.16,469147.0,59.3,59.9,45.5,46.8,197.0,204.0,404.0,420.0,50.0,1845.1
2024-05-01 03:11:00,127.3,40.43,469020.0,57.5,59.9,47.2,42.7,215.0,214.0,380.0,410.0,50.0,1777.7
2024-05-01 03:12:00,127.1,38.84,487953.0,57.8,56.9,49.2,46.2,217.0,234.0,415.0,391.0,50.0,1771.0
2024-05-01 03:13:00,129.1,35.21,479781.0,58.5,57.4,49.8,51.1,230.0,210.0,378.0,393.0,49.96,1841.9
2024-05-01 03:14:00,126.6,38.77,466238.0,57.4,57.1,46.8,48.7,217.0,218.0,381.0,406.0,50.0,1797.5
2024-05-01 03:15:00,124.1,39.32,476950.0,58.1,59.5,49.4,50.9,209.0,178.0,413.0,393.0,49.69,1910.7
2024-05-01 03:16:00,127.7,36.17,473389.0,59.6,60.2,47.2,51.6,218.0,218.0,393.0,391.0,50.0,1860.3
