regime,label,parameter,direction,delta_power_kW,p95_reduction_mgNm3,reduction_per_added_kW
0,R1,U1_kV,提高1%,8.336206254022727,0.4426573243934513,0.05310057247921885
0,R1,U2_kV,提高1%,8.044658829801847,0.42179281536382085,0.05243141123664163
0,R1,U3_kV,提高1%,5.823553910641294,0.29357982493294443,0.050412485131543186
0,R1,U4_kV,提高1%,5.49037093375955,0.28879184404749303,0.05259969636509456
0,R1,T1_s,缩短1%,1.8716893507446457,0.016035549930828452,0.008567420616273079
0,R1,T2_s,缩短1%,1.8822216636663143,0.020569997352239966,0.010928573264942867
0,R1,T3_s,缩短1%,1.0921944142257871,0.006519970260020713,0.0059696059374579925
0,R1,T4_s,缩短1%,1.0567070258191507,0.006669430672872068,0.006311522976486296
1,R2,U1_kV,提高1%,7.346859941070306,0.43208473211387144,0.058812164050989706
1,R2,U2_kV,提高1%,7.966826082708849,0.45253303921104227,0.0568021737280317
1,R2,U3_kV,提高1%,5.079011613026523,0.3078257813314238,0.06060741829018856
1,R2,U4_kV,上限处反向差分,5.744808217992613,0.3291722500252874,0.05729908423997987
1,R2,T1_s,缩短1%,1.8716893507446457,0.02573710798539608,0.013750736988035249
1,R2,T2_s,缩短1%,1.882221663663131,0.02667033073389824,0.014169601407090986
1,R2,T3_s,缩短1%,1.0921944142255597,0.011106934493760434,0.010169374929129268
1,R2,T4_s,缩短1%,1.0567070258191507,0.008729802436631573,0.008261327144923922
2,R3,U1_kV,提高1%,8.074148570216948,0.4604364394829368,0.057026005340221904
2,R3,U2_kV,提高1%,8.536716460006119,0.4680643403893061,0.05482955215651741
2,R3,U3_kV,提高1%,4.971239490721928,0.29173751737368114,0.058685065951492664
2,R3,U4_kV,提高1%,5.389329511499909,0.2925587965633252,0.05428482261829689
2,R3,T1_s,缩短1%,1.8716893508089925,0.030409564809527723,0.01624712177604896
2,R3,T2_s,缩短1%,1.8822216636629037,0.028162531786442457,0.014962388506163864
2,R3,T3_s,缩短1%,1.0921944142257871,0.007699958871112855,0.007049989242593818
2,R3,T4_s,缩短1%,1.0567070258191507,0.014405703197137854,0.013632636904226761
3,R4,U1_kV,上限处反向差分,8.385055316666694,0.45119367704430324,0.05380926660644452
3,R4,U2_kV,上限处反向差分,8.504933477813665,0.49643245153573723,0.05836993938056685
3,R4,U3_kV,提高1%,4.413095844461623,0.25990458200445055,0.05889393549669387
3,R4,U4_kV,上限处反向差分,5.744808217992613,0.32604866887295536,0.05675536179811505
3,R4,T1_s,缩短1%,1.9013861763646673,0.021341562750867737,0.011224212638208764
3,R4,T2_s,缩短1%,1.9046208422257678,0.027860656821765417,0.01462792814406412
3,R4,T3_s,缩短1%,1.0921944142255597,0.012204268505911386,0.011174080682847152
3,R4,T4_s,缩短1%,1.0730825047128292,0.011995882548280434,0.01117890049981822
4,R5,U1_kV,上限处反向差分,8.497124287244333,0.5052728436460256,0.05946398176198604
4,R5,U2_kV,上限处反向差分,8.649572810458267,0.510071550139612,0.058970721597126796
4,R5,U3_kV,提高1%,4.785046845860961,0.2725385791759223,0.056956303241141024
4,R5,U4_kV,提高1%,5.163064051585934,0.29320295116169426,0.056788555832777504
4,R5,T1_s,缩短1%,2.1037728157853053,0.013506920195329286,0.006420332126160383
4,R5,T2_s,缩短1%,2.1114641732092423,0.012782802931967652,0.006053999444631306
4,R5,T3_s,缩短1%,1.2051071167643386,0.003497485161330971,0.00290221932364118
4,R5,T4_s,缩短1%,1.186141036508161,0.0026580859570994875,0.002240952698950989
5,R6,U1_kV,提高1%,7.823548072248741,0.44322278120945136,0.05665240081819486
5,R6,U2_kV,提高1%,7.844540136587966,0.438144798373294,0.05585347142654406
5,R6,U3_kV,提高1%,4.6285845405000146,0.25942483122612003,0.05604841587231655
5,R6,U4_kV,提高1%,5.6374666969393274,0.3027763415025575,0.0537078723084856
5,R6,T1_s,缩短1%,2.1217761182329014,0.012892564382005034,0.006076307613803509
5,R6,T2_s,缩短1%,2.135236798629421,0.011654432087116362,0.0054581450144532825
5,R6,T3_s,缩短1%,1.229052182864507,0.001693071916525568,0.0013775427440188808
5,R6,T4_s,缩短1%,1.2080845364969264,0.0017513986532424752,0.0014497318691960024
6,R7,U1_kV,上限处反向差分,8.497124287234328,0.49535608218401883,0.05829690909996668
6,R7,U2_kV,提高1%,7.701361339657069,0.4444267810391356,0.05770756122695125
6,R7,U3_kV,提高1%,5.782502393138202,0.3390032375715233,0.058625697755663876
6,R7,U4_kV,提高1%,5.672146333251931,0.339083604448879,0.05978047541916589
6,R7,T1_s,缩短1%,2.141526578031062,0.015739395938707545,0.007349615036381422
6,R7,T2_s,缩短1%,2.1342450193537843,0.014014274100022206,0.006566384821301121
6,R7,T3_s,缩短1%,1.2269305241620714,0.0023084076710944146,0.0018814493776417656
6,R7,T4_s,缩短1%,1.2062965376326247,0.0014539093983803042,0.0012052669911774957
7,R8,U1_kV,上限处反向差分,8.497124287244333,0.49143397243322795,0.057835328261698626
7,R8,U2_kV,上限处反向差分,8.649572792908657,0.47627197565828716,0.05506306346699091
7,R8,U3_kV,提高1%,5.730567286308087,0.3101216940509772,0.054117101947645546
7,R8,U4_kV,提高1%,5.121321097596592,0.29879629238601524,0.05834359664076496
7,R8,T1_s,缩短1%,2.1722940339564047,0.010706192086622934,0.004928518846559514
7,R8,T2_s,缩短1%,2.1754094830662325,0.01045656128295569,0.004806709433029225
7,R8,T3_s,缩短1%,1.2560189411447027,0.0016860448526987426,0.0013423721549629861
7,R8,T4_s,缩短1%,1.2404386503030764,0.0016754631691906496,0.0013507021639331245
