replicate,p95_at_10_policy,p95_at_5_policy,compliance_10,compliance_5
1,9.528799712058998,4.773206032844644,0.973,0.9718
2,9.627333514414588,4.814771413386487,0.971,0.9677
3,9.61301283545001,4.8152000076306685,0.9704,0.9661
4,9.650551500144227,4.83257455931708,0.9678,0.9651
5,9.619079598496478,4.815900962301162,0.9687,0.9677
6,9.654088906281778,4.823466607760829,0.9686,0.9668
7,9.640323666954933,4.814363844582414,0.9699,0.9666
8,9.638123183490393,4.8331513141201246,0.9676,0.9639
9,9.638597337997831,4.809132714005732,0.9695,0.9688
10,9.659244549159158,4.8291986854100974,0.9692,0.9675
11,9.56987901875162,4.798947965362748,0.9714,0.9702
12,9.716917737808746,4.842639587425247,0.9649,0.9639
