parameter,factor,p95_at_10_policy,p95_at_5_policy,compliance_10,compliance_5
d_ref,0.7,15.94568286354868,9.841670273387104,0.0992,0.0235
d_ref,1.0,9.566327214419449,4.786872095526953,0.9716,0.9673
d_ref,1.3,5.766186880868345,2.349239036628692,1.0,1.0
temperature_sensitivity,0.7,9.452326107293144,4.7371503694223795,0.9733,0.9722
temperature_sensitivity,1.0,9.678338236598359,4.836814471602037,0.9658,0.9659
temperature_sensitivity,1.3,9.712654925436432,4.858284609600801,0.9674,0.9612
plate_penalty,0.7,9.657550921047564,4.8277209440374635,0.9685,0.9667
plate_penalty,1.0,9.618894744960787,4.827129567491171,0.9687,0.9673
plate_penalty,1.3,9.586414638296219,4.802113773603317,0.973,0.9676
rapping_load_coefficient,0.7,9.51343430048425,4.766809283158807,0.9743,0.9726
rapping_load_coefficient,1.0,9.654489995987689,4.822178841173447,0.9679,0.9674
rapping_load_coefficient,1.3,9.672428842838812,4.839337809903311,0.9674,0.9654
stage_weight_w1,0.7,9.402286160132482,5.038707369828943,0.9777,0.9463
stage_weight_w1,1.0,9.64883888419944,4.8229958984719055,0.9695,0.967
stage_weight_w1,1.3,9.729310676659372,4.582119005921127,0.9648,0.982
stage_weight_w2,0.7,9.717768249947714,4.5598847173666925,0.9649,0.9825
stage_weight_w2,1.0,9.641792396294903,4.833036584961241,0.9692,0.9668
stage_weight_w2,1.3,9.518903193270889,5.0312457059694795,0.9724,0.9474
stage_weight_w3,0.7,9.664020502795244,4.824545383749481,0.9677,0.9665
stage_weight_w3,1.0,9.605682764994965,4.8091656369698965,0.9714,0.967
stage_weight_w3,1.3,9.519556492889524,4.754896354764981,0.9719,0.9716
stage_weight_w4,0.7,9.654181191218356,4.790666753807332,0.9692,0.9684
stage_weight_w4,1.0,9.625225084413342,4.820743725978725,0.9684,0.9667
stage_weight_w4,1.3,9.533815328267062,4.794608679430698,0.9717,0.9667
