gap_step,gap_mgNm3,outlet_mgNm3,count,empirical_probability,posterior_mean_probability
1,0.01,49.99,122,0.02687816699713593,0.026618861364624078
2,0.02,49.98,134,0.02952192112800176,0.029226423294219903
3,0.03,49.97,131,0.028860982595285304,0.028574532811820947
4,0.04,49.96,132,0.029081295439524125,0.028791829639287267
5,0.05,49.95,130,0.028640669751046486,0.028357235984354627
6,0.06,49.94,109,0.024014100022031283,0.02379400260756193
7,0.07,49.93,121,0.026657854152897113,0.026401564537157758
8,0.08,49.92,115,0.025335977087464198,0.025097783572359842
9,0.09,49.91,124,0.02731879268561357,0.027053455019556714
10,0.1,49.9,108,0.023793787177792465,0.02357670578009561
11,0.11,49.89,118,0.025996915620180656,0.025749674054758802
12,0.12,49.88,116,0.02555628993170302,0.025315080399826162
13,0.13,49.87,133,0.029301608283762944,0.029009126466753587
14,0.14,49.86,103,0.022692222956598368,0.022490221642764017
15,0.15,49.85,116,0.02555628993170302,0.025315080399826162
16,0.16,49.84,86,0.018946904604538444,0.018796175575836592
17,0.17,49.83,96,0.021150033046926635,0.020969143850499784
18,0.18,49.82,109,0.024014100022031283,0.02379400260756193
19,0.19,49.81,107,0.023573474333553647,0.023359408952629293
20,0.2,49.8,95,0.020929720202687817,0.020751847023033464
21,0.21,49.79,73,0.016082837629433796,0.015971316818774447
22,0.22,49.78,93,0.020489094514210177,0.020317253368100825
23,0.23,49.77,105,0.023132848645076007,0.022924815297696653
24,0.24,49.76,85,0.018726591760299626,0.018578878748370272
25,0.25,49.75,102,0.02247191011235955,0.022272924815297697
26,0.26,49.74,85,0.018726591760299626,0.018578878748370272
27,0.27,49.73,91,0.02004846882573254,0.019882659713168188
28,0.28,49.72,74,0.016303150473672614,0.016188613646240763
29,0.29,49.71,83,0.018285966071821987,0.018144285093437636
30,0.3,49.7,89,0.0196078431372549,0.01944806605823555
31,0.31,49.69,87,0.019167217448777262,0.019013472403302912
32,0.32,49.68,70,0.015421899096717338,0.015319426336375489
