feature,count,mean,std,min,25%,50%,75%,max,missing
Temp_C,10080.0,126.00774801587302,6.5927687769886205,111.7,120.3,126.5,131.0,158.2,0
C_in_gNm3,10080.0,36.273131944444444,9.287629482134385,18.0,27.65,37.41,44.3525,72.47,0
Q_Nm3h,10080.0,462830.16577380954,22532.521495102887,401047.0,442724.75,465546.5,482009.5,513258.0,0
U1_kV,10080.0,58.39375,4.581150921899773,45.9,54.575,58.8,62.1,70.9,0
U2_kV,10080.0,58.41710317460318,4.592795699765616,45.4,54.6,58.9,62.1,71.4,0
U3_kV,10080.0,48.20075396825396,3.5736120206700304,38.0,45.4,48.4,50.9,59.2,0
U4_kV,10080.0,48.197182539682544,3.571810901600203,37.0,45.4,48.4,51.0,58.2,0
T1_s,10080.0,230.44375,20.798815921811027,157.0,216.0,233.0,246.0,290.0,0
T2_s,10080.0,230.47113095238095,20.883610105998088,154.0,216.0,233.0,246.0,289.0,0
T3_s,10080.0,440.73660714285717,22.87891075192592,359.0,427.0,445.0,457.0,506.0,0
T4_s,10080.0,440.7375992063492,23.075642167116893,358.0,427.0,445.0,457.0,510.0,0
C_out_mgNm3,10030.0,49.89201694915255,0.1696488890319358,48.74,49.82,50.0,50.0,50.0,50
P_total_kW,10080.0,1771.0362202380954,129.47966675959634,1479.9,1650.2,1785.1,1883.2,2087.3,0
