regime,label,parameter,parameter_type,direction,direct_delta_power_kW,direct_p95_reduction_mgNm3,direct_benefit_mgNm3_per_kW,constraint_direction,constraint_delta_power_kW,dust_load_relief,dust_relief_per_added_kW,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,secondary_parameter,operational_role,operational_rank,is_primary_action,is_tied_primary,is_secondary_action
0,R1,U1_kV,电压,提高1%,8.336206254022727,0.4426573243934513,0.05310057247921885,,0.0,0.0,0.0,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,1,True,True,False
0,R1,U4_kV,电压,提高1%,5.49037093375955,0.28879184404749303,0.05259969636509456,,0.0,0.0,0.0,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,2,False,False,True
0,R1,U2_kV,电压,提高1%,8.044658829801847,0.42179281536382085,0.05243141123664163,,0.0,0.0,0.0,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,3,False,False,False
0,R1,U3_kV,电压,提高1%,5.823553910641294,0.29357982493294443,0.050412485131543186,,0.0,0.0,0.0,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,4,False,False,False
0,R1,T2_s,振打周期,缩短1%,1.8822216636663143,0.020569997352239966,0.010928573264942867,缩短1%,1.8822216636663143,0.002784143148343521,0.0014791792072568037,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,5,False,False,False
0,R1,T1_s,振打周期,缩短1%,1.8716893507446457,0.016035549930828452,0.008567420616273079,缩短1%,1.8716893507446457,0.0027842984058595865,0.00148758574960736,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,6,False,False,False
0,R1,T4_s,振打周期,缩短1%,1.0567070258191507,0.006669430672872068,0.006311522976486296,缩短1%,1.0567070258191507,0.0017370804723064737,0.0016438619502504993,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,7,False,False,False
0,R1,T3_s,振打周期,缩短1%,1.0921944142257871,0.006519970260020713,0.0059696059374579925,缩短1%,1.0921944142257871,0.0017234563117393131,0.0015779757608090335,0.90289783382491,0.37731183874144136,False,电压优先,U1_kV,U4_kV,直接减排效率排序,8,False,False,False
1,R2,U3_kV,电压,提高1%,5.079011613026523,0.3078257813314238,0.06060741829018856,,0.0,0.0,0.0,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,U1_kV,直接减排效率排序,1,True,True,False
1,R2,U1_kV,电压,提高1%,7.346859941070306,0.43208473211387144,0.058812164050989706,,0.0,0.0,0.0,1.0982096871786087,0.24261400884233883,False,电压优先,U3_kV,U1_kV,直接减排效率排序,2,False,False,True
