regime,label,limit_mgNm3,power_kW,c_mean_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,power_abs_error_kW,p95_abs_error_mgNm3,probability_abs_error,scenario
0,R1,5.0,2488.507821023833,3.4552376340762554,5.664104237897197,0.8915,0.5559185631324497,False,0.0,0.0,0.0,历史边界
1,R2,5.0,2069.9138156472186,2.8671109247581206,4.778436482218045,0.9649,1.0982096871786076,True,0.0,0.0,0.0,历史边界
2,R3,5.0,2453.2588187534952,1.990966941155809,4.344244896047698,0.9806,0.7968115382415424,True,0.0,0.0,0.0,历史边界
3,R4,5.0,2493.002225258095,1.8786158342260264,4.4058145839027265,0.9735,0.9000956798323154,True,0.0,8.881784197001252e-16,0.0,历史边界
4,R5,5.0,2504.186164473021,2.2513411741005696,4.884724656701255,0.9562,0.9858394659318377,True,0.0,0.0,0.0,历史边界
5,R6,5.0,2122.550244077949,2.8293324260015296,4.7365883998871645,0.9637,1.4499999996052797,True,0.0,0.0,0.0,历史边界
6,R7,5.0,2499.3374628156,3.8194818824025822,6.047157278906637,0.8391,1.0046499176747614,False,0.0,0.0,0.0,历史边界
7,R8,5.0,2490.125133435036,4.390789784739837,6.782572846251364,0.7054,1.0345741227955954,False,0.0,0.0,0.0,历史边界
0,R1,5.0,2150.547934843249,2.8030815074973496,4.707255159711622,0.9663,0.9028978338253784,True,0.0,0.0,0.0,电压上界扩展2%
1,R2,5.0,2075.254673354835,2.7681724174084157,4.644701406582257,0.9749,1.0982096871786078,True,0.0,0.0,0.0,电压上界扩展2%
2,R3,5.0,2104.5494926813317,2.1250546212409596,4.720979030966843,0.9637,1.257071639727792,True,4.547473508864641e-13,0.0,0.0,电压上界扩展2%
3,R4,5.0,2133.6179757096706,1.7606097332575301,4.280614789095412,0.9774,1.4500000000014097,True,4.547473508864641e-13,0.0,0.0,电压上界扩展2%
4,R5,5.0,2187.0708813520705,2.143665623356532,4.716205733422349,0.9651,1.4499999999999986,True,0.0,0.0,0.0,电压上界扩展2%
5,R6,5.0,2123.5655372441324,2.8001261633996846,4.6829759061018965,0.9653,1.450000000033066,True,0.0,0.0,0.0,电压上界扩展2%
6,R7,5.0,2233.5951072113085,2.8659235562229637,4.617212046192892,0.9724,1.4499999999997908,True,0.0,0.0,0.0,电压上界扩展2%
7,R8,5.0,2527.844030393669,3.021653039252996,4.713232830847729,0.9667,1.0537426720290743,True,0.0,0.0,0.0,电压上界扩展2%
