replicate,power_10_kW,power_5_kW,increase_pct,feasible_10,feasible_5,max_voltage_10,max_voltage_5
1,2152.422533286505,2268.3921965441396,5.3878669947095466,True,True,70.89999999999971,73.02699999999791
2,2154.045095971686,2272.3841899616214,5.493807637140155,True,True,70.89999999999995,72.89257162842944
3,2150.2817341569703,2272.0022741461344,5.660678694128669,True,True,71.39999999999999,73.54199999999832
4,2150.68557921808,2274.9818081848534,5.779377058545377,True,True,71.39999999999971,73.542
5,2151.3037579630945,2264.0637118567083,5.241470595504262,True,True,70.73522370201528,72.90592526944462
6,2163.228053144377,2270.4196727161866,4.955169632531359,True,True,71.24927127485856,73.17446868039374
7,2152.148767725181,2261.8494542105686,5.097263169280856,True,True,71.09792981336437,72.5425905498761
8,2146.2775174585863,2315.6581642130923,7.891833436109888,True,True,71.39999999999976,73.54199999996975
9,2147.4726467344835,2254.657125169958,4.991191789961216,True,True,70.79226096268258,73.54199999999189
10,2156.5812719620817,2272.3852881653534,5.369796061426049,True,True,71.4,73.027
11,2149.1070713914983,2272.3272664751835,5.733553098585401,True,True,69.95385165393463,73.542
12,2170.1305264202388,2267.8967766913556,4.505086172507245,True,True,71.4,73.54199998480021
