extension_pct,power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,verification_repair,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
2,2150.547934843249,2.8030815074973496,2.651430463260394,4.707255159711622,0.9663,0.9028978338253784,True,0,5.0,90.0,True,0.975,1.02,False,71.56675578582157,72.74472291735236,60.38286656146703,59.16378948981471,290.0,289.0,506.0,510.0,1668.4366666666667,-28.89598855075404
2,2075.254673354835,2.768172417408416,2.655157443236483,4.644701406582257,0.9749,1.0982096871786078,True,1,5.0,90.0,True,0.975,1.02,False,70.32893309061829,72.82799999999976,54.39445014110973,58.82785939670823,289.9999999999993,289.0,506.0,510.0,1826.2083920187797,-13.637341851263088
2,2104.549492681332,2.12505462124096,1.7758213715643247,4.720979030966843,0.9637,1.257071639727792,True,2,5.0,90.0,True,0.975,1.02,False,70.58296369269056,72.15537506346891,59.575118513724085,57.28378087236878,289.99999994846416,288.99999999999994,505.99999990997713,509.9999999171281,1602.8751584283905,-31.298403472971025
2,2133.61797570967,1.76060973325753,1.3123518774166028,4.280614789095412,0.9774,1.4500000000014095,True,3,5.0,90.0,True,0.975,1.02,False,72.31799854714222,71.59536162612432,58.364848515659006,59.30685572041065,285.0370052650516,285.40668909594723,505.99999999999767,503.9898528109664,1772.3654489164085,-20.382507852098183
2,2187.0708813520705,2.143665623356532,1.780963249247291,4.716205733422349,0.9651,1.4499999999999986,True,4,5.0,90.0,True,0.975,1.02,False,69.22330261227276,72.82799999999888,59.66347297619218,59.26879111379834,258.5712452979479,256.14831650449867,459.4947776812558,456.0266462950841,1923.518053375196,-13.7016040745975
2,2123.5655372441324,2.800126163399685,2.6265638946960426,4.6829759061018965,0.9653,1.450000000033066,True,5,5.0,90.0,True,0.975,1.02,False,71.21152039161097,69.38028534651842,58.06531935343346,55.36920317663,255.6389726203221,255.40962361471733,449.1819782888383,445.2235476993886,1691.137237762238,-25.57026655353508
2,2233.5951072113085,2.865923556222961,2.742564658328848,4.617212046192892,0.9724,1.4499999999997908,True,6,5.0,90.0,True,0.975,1.02,False,72.29577941767363,72.42485889548512,60.01678465347227,59.364,254.3137605166206,254.18078947724763,450.418297401437,446.3215481950985,1805.110889443059,-23.737279536353142
2,2527.844030393669,3.021653039252996,2.91532372672363,4.713232830847729,0.9667,1.0537426720290743,True,7,5.0,90.0,False,0.975,1.02,False,72.31771209574246,72.82688644120601,60.382803227262336,59.35906401808428,169.92758619793142,159.5469180231759,360.7646699595738,370.28761550479487,1866.8557471264369,-35.40650016931733
3,2149.972124387402,2.8120626492383503,2.6603977951291595,4.740813312484813,0.9648,0.9028978338253784,True,0,5.0,,True,0.975,1.03,False,71.79217856497405,71.33325944359134,60.97599999999988,59.94599999999996,290.0,289.0,506.0,510.0,,
3,2074.127746628343,2.791880926849853,2.6746655209339583,4.691734785018328,0.9709,1.0982096871786087,True,1,5.0,,True,0.975,1.03,False,70.12352061158914,72.59970066694459,53.608760765379095,59.94599999999992,290.0,289.0,506.0,510.0,,
