parameter,factor,p95_at_10_policy,p95_at_5_policy,10_policy_compliance,5_policy_compliance
d_ref,0.7,122.62228782662237,76.28088940745937,0.0,0.0
d_ref,1.0,9.098064848526123,4.628862583341711,0.9766,0.9717
d_ref,1.3,0.693738731171298,0.28786395133789183,1.0,1.0
temperature_sensitivity,0.7,8.875248860397596,4.493580118162992,0.9828,0.9793
temperature_sensitivity,1.0,9.077433474400765,4.614289581500013,0.9797,0.9747
temperature_sensitivity,1.3,9.478276857824973,4.827608024302425,0.9692,0.9619
plate_penalty,0.7,9.15550956054968,4.656417215283763,0.9754,0.9721
plate_penalty,1.0,9.298579604625047,4.7405855958441085,0.9735,0.9678
plate_penalty,1.3,9.166523964864373,4.65761757786109,0.9774,0.9728
rapping_amplitude,0.7,8.99770488824872,4.573239670776069,0.9812,0.9756
rapping_amplitude,1.0,9.19789152094887,4.683222784263375,0.9778,0.9713
rapping_amplitude,1.3,9.352020339616963,4.760592011066565,0.9725,0.9669
